ResourceName,FieldName,IsSensitive,IsComputed
provider,okta_url,false,false
provider,client_store_temporary_credential,false,false
provider,include_retry_reason,false,false
provider,organization_name,false,false
provider,token,true,false
provider,authenticator,false,false
provider,warehouse,false,false
provider,ocsp_fail_open,false,false
provider,token_accessor.token_endpoint,true,false
provider,token_accessor.refresh_token,true,false
provider,token_accessor.client_id,true,false
provider,token_accessor.client_secret,true,false
provider,token_accessor.redirect_uri,true,false
provider,driver_tracing,false,false
provider,private_key,true,false
provider,tmp_directory_path,false,false
provider,account_name,false,false
provider,password,true,false
provider,params,false,false
provider,host,false,false
provider,validate_default_parameters,false,false
provider,private_key_passphrase,true,false
provider,user,false,false
provider,client_ip,false,false
provider,passcode,false,false
provider,preview_features_enabled,false,false
provider,disable_console_login,false,false
provider,profile,false,false
provider,role,false,false
provider,protocol,false,false
provider,client_request_mfa_token,false,false
snowflake_failover_group,allowed_shares,false,false
snowflake_failover_group,from_replica.organization_name,false,false
snowflake_failover_group,from_replica.source_account_name,false,false
snowflake_failover_group,allowed_databases,false,false
snowflake_failover_group,allowed_accounts,false,false
snowflake_failover_group,replication_schedule..cron.time_zone,false,false
snowflake_failover_group,replication_schedule..cron.expression,false,false
snowflake_failover_group,object_types,false,false
snowflake_failover_group,allowed_integration_types,false,false
snowflake_table_constraint,table_id,false,false
snowflake_table_constraint,initially,false,false
snowflake_table_constraint,foreign_key_properties..references.table_id,false,false
snowflake_table_constraint,foreign_key_properties..references.columns,false,false
snowflake_table_constraint,foreign_key_properties.match,false,false
snowflake_table_constraint,foreign_key_properties.on_update,false,false
snowflake_table_constraint,foreign_key_properties.on_delete,false,false
snowflake_table_constraint,columns,false,false
snowflake_table_constraint,type,false,false
snowflake_network_policy,describe_output.blocked_ip_list,false,true
snowflake_network_policy,describe_output.allowed_network_rule_list,false,true
snowflake_network_policy,describe_output.blocked_network_rule_list,false,true
snowflake_network_policy,describe_output.allowed_ip_list,false,true
snowflake_network_policy,allowed_network_rule_list,false,false
snowflake_network_policy,blocked_network_rule_list,false,false
snowflake_network_policy,allowed_ip_list,false,false
snowflake_network_policy,blocked_ip_list,false,false
snowflake_procedure_javascript,procedure_definition,false,false
snowflake_procedure_javascript,parameters.enable_console_output,false,true
snowflake_procedure_javascript,parameters.log_level,false,true
snowflake_procedure_javascript,parameters.metric_level,false,true
snowflake_procedure_javascript,parameters.trace_level,false,true
snowflake_procedure_javascript,arguments.arg_name,false,false
snowflake_procedure_javascript,arguments.arg_data_type,false,false
snowflake_procedure_javascript,arguments.arg_default_value,false,false
snowflake_procedure_javascript,metric_level,false,true
snowflake_procedure_javascript,execute_as,false,false
snowflake_procedure_javascript,procedure_language,false,true
snowflake_procedure_javascript,is_secure,false,false
snowflake_procedure_javascript,return_type,false,false
snowflake_procedure_javascript,null_input_behavior,false,false
snowflake_procedure_javascript,log_level,false,true
snowflake_procedure_javascript,show_output.schema_name,false,true
snowflake_procedure_javascript,show_output.description,false,true
snowflake_procedure_javascript,show_output.arguments_raw,false,true
snowflake_procedure_javascript,show_output.catalog_name,false,true
snowflake_procedure_javascript,show_output.secrets,false,true
snowflake_procedure_javascript,show_output.external_access_integrations,false,true
snowflake_procedure_javascript,trace_level,false,true
snowflake_secondary_database,storage_serialization_policy,false,true
snowflake_secondary_database,trace_level,false,true
snowflake_secondary_database,as_replica_of,false,false
snowflake_secondary_database,catalog,false,true
snowflake_secondary_database,default_ddl_collation,false,true
snowflake_secondary_database,log_level,false,true
snowflake_secondary_database,external_volume,false,true
snowflake_secondary_database,user_task_managed_initial_warehouse_size,false,true
snowflake_secret_with_basic_authentication,username,true,false
snowflake_secret_with_basic_authentication,show_output.owner_role_type,false,true
snowflake_secret_with_basic_authentication,show_output.schema_name,false,true
snowflake_secret_with_basic_authentication,show_output.database_name,false,true
snowflake_secret_with_basic_authentication,show_output.owner,false,true
snowflake_secret_with_basic_authentication,show_output.secret_type,false,true
snowflake_secret_with_basic_authentication,show_output.oauth_scopes,false,true
snowflake_secret_with_basic_authentication,password,true,false
snowflake_secret_with_basic_authentication,describe_output.oauth_scopes,false,true
snowflake_secret_with_basic_authentication,describe_output.database_name,false,true
snowflake_secret_with_basic_authentication,describe_output.owner,false,true
snowflake_secret_with_basic_authentication,describe_output.secret_type,false,true
snowflake_secret_with_basic_authentication,describe_output.username,false,true
snowflake_secret_with_basic_authentication,describe_output.oauth_refresh_token_expiry_time,false,true
snowflake_secret_with_basic_authentication,describe_output.schema_name,false,true
