ResourceName,FieldName,IsSensitive
provider,token_endpoint,true
provider,refresh_token,true
provider,client_id,true
provider,client_secret,true
provider,redirect_uri,true
provider,user,false
provider,params,false
provider,client_ip,false
provider,private_key,true
provider,authenticator,false
provider,ocsp_fail_open,false
provider,private_key_passphrase,true
provider,include_retry_reason,false
provider,account_name,false
provider,organization_name,false
provider,role,false
provider,passcode,false
provider,client_request_mfa_token,false
provider,tmp_directory_path,false
provider,disable_console_login,false
provider,warehouse,false
provider,validate_default_parameters,false
provider,protocol,false
provider,profile,false
provider,preview_features_enabled,false
provider,host,false
provider,driver_tracing,false
provider,okta_url,false
provider,token,true
provider,password,true
provider,client_store_temporary_credential,false
snowflake_object_parameter,object_type,false
snowflake_object_parameter,schema,false
snowflake_object_parameter,name,false
snowflake_object_parameter,database,false
snowflake_object_parameter,key,false
snowflake_object_parameter,value,false
snowflake_saml2_integration,saml2_x509_cert,false
snowflake_saml2_integration,saml2_post_logout_redirect_url,false
snowflake_saml2_integration,saml2_snowflake_issuer_url,false
snowflake_saml2_integration,name,false
snowflake_saml2_integration,integration_type,false
snowflake_saml2_integration,category,false
snowflake_saml2_integration,name,false
snowflake_saml2_integration,type,false
snowflake_saml2_integration,value,false
snowflake_saml2_integration,default,false
snowflake_saml2_integration,value,false
snowflake_saml2_integration,default,false
snowflake_saml2_integration,name,false
snowflake_saml2_integration,type,false
snowflake_saml2_integration,name,false
snowflake_saml2_integration,type,false
snowflake_saml2_integration,value,false
snowflake_saml2_integration,default,false
snowflake_saml2_integration,name,false
snowflake_saml2_integration,type,false
snowflake_saml2_integration,value,false
snowflake_saml2_integration,default,false
snowflake_saml2_integration,name,false
snowflake_saml2_integration,type,false
snowflake_saml2_integration,value,false
snowflake_saml2_integration,default,false
snowflake_saml2_integration,default,false
snowflake_saml2_integration,name,false
snowflake_saml2_integration,type,false
snowflake_saml2_integration,value,false
snowflake_saml2_integration,name,false
snowflake_saml2_integration,type,false
snowflake_saml2_integration,value,false
snowflake_saml2_integration,default,false
snowflake_saml2_integration,default,false
snowflake_saml2_integration,name,false
snowflake_saml2_integration,type,false
snowflake_saml2_integration,value,false
snowflake_saml2_integration,name,false
snowflake_saml2_integration,type,false
snowflake_saml2_integration,value,false
snowflake_saml2_integration,default,false
snowflake_saml2_integration,name,false
snowflake_saml2_integration,type,false
snowflake_saml2_integration,value,false
snowflake_saml2_integration,default,false
snowflake_saml2_integration,name,false
snowflake_saml2_integration,type,false
snowflake_saml2_integration,value,false
snowflake_saml2_integration,default,false
snowflake_saml2_integration,name,false
snowflake_saml2_integration,type,false
snowflake_saml2_integration,value,false
snowflake_saml2_integration,default,false
snowflake_saml2_integration,name,false
snowflake_saml2_integration,type,false
snowflake_saml2_integration,value,false
snowflake_saml2_integration,default,false
snowflake_saml2_integration,type,false
snowflake_saml2_integration,value,false
snowflake_saml2_integration,default,false
snowflake_saml2_integration,name,false
snowflake_saml2_integration,value,false
snowflake_saml2_integration,default,false
snowflake_saml2_integration,name,false
snowflake_saml2_integration,type,false
snowflake_saml2_integration,name,false
snowflake_saml2_integration,type,false
snowflake_saml2_integration,value,false
snowflake_saml2_integration,default,false
snowflake_saml2_integration,default,false
snowflake_saml2_integration,name,false
snowflake_saml2_integration,type,false
snowflake_saml2_integration,value,false
snowflake_saml2_integration,name,false
snowflake_saml2_integration,type,false
snowflake_saml2_integration,value,false
snowflake_saml2_integration,default,false
snowflake_saml2_integration,value,false
snowflake_saml2_integration,default,false
snowflake_saml2_integration,name,false
snowflake_saml2_integration,type,false
snowflake_saml2_integration,name,false
snowflake_saml2_integration,saml2_issuer,false
snowflake_saml2_integration,saml2_provider,false
snowflake_saml2_integration,saml2_requested_nameid_format,false
snowflake_saml2_integration,allowed_email_patterns,false
snowflake_saml2_integration,saml2_sp_initiated_login_page_label,false
snowflake_saml2_integration,allowed_user_domains,false
snowflake_saml2_integration,fully_qualified_name,false
snowflake_saml2_integration,enabled,false
snowflake_saml2_integration,saml2_sso_url,false
snowflake_saml2_integration,saml2_enable_sp_initiated,false
snowflake_saml2_integration,saml2_sign_request,false
snowflake_saml2_integration,saml2_force_authn,false
snowflake_saml2_integration,saml2_snowflake_acs_url,false
snowflake_secret_with_generic_string,username,false
snowflake_secret_with_generic_string,oauth_scopes,false
snowflake_secret_with_generic_string,database_name,false
snowflake_secret_with_generic_string,schema_name,false
snowflake_secret_with_generic_string,oauth_access_token_expiry_time,false
snowflake_secret_with_generic_string,oauth_refresh_token_expiry_time,false
snowflake_secret_with_generic_string,integration_name,false
snowflake_secret_with_generic_string,name,false
snowflake_secret_with_generic_string,owner,false
snowflake_secret_with_generic_string,secret_type,false
snowflake_secret_with_generic_string,name,false
snowflake_secret_with_generic_string,database,false
snowflake_secret_with_generic_string,schema,false
snowflake_secret_with_generic_string,secret_string,true
snowflake_secret_with_generic_string,secret_type,false
snowflake_secret_with_generic_string,schema_name,false
snowflake_secret_with_generic_string,owner,false
snowflake_secret_with_generic_string,secret_type,false
snowflake_secret_with_generic_string,oauth_scopes,false
snowflake_secret_with_generic_string,owner_role_type,false
snowflake_secret_with_generic_string,name,false
snowflake_secret_with_generic_string,database_name,false
snowflake_secret_with_generic_string,fully_qualified_name,false
snowflake_stage,name,false
snowflake_stage,schema,false
snowflake_stage,credentials,true
snowflake_stage,copy_options,false
snowflake_stage,file_format,false
snowflake_stage,snowflake_iam_user,false
snowflake_stage,value,false
snowflake_stage,database,false
snowflake_stage,schema,false
snowflake_stage,name,false
snowflake_stage,database,false
snowflake_stage,directory,false
snowflake_stage,aws_external_id,false
snowflake_stage,url,false
snowflake_stage,storage_integration,false
snowflake_stage,encryption,false
snowflake_stage,fully_qualified_name,false
snowflake_cortex_search_service,name,false
snowflake_cortex_search_service,database,false
snowflake_cortex_search_service,schema,false
snowflake_cortex_search_service,target_lag,false
snowflake_cortex_search_service,query,false
snowflake_cortex_search_service,fully_qualified_name,false
snowflake_cortex_search_service,on,false
snowflake_cortex_search_service,attributes,false
snowflake_cortex_search_service,warehouse,false
snowflake_api_integration,api_aws_iam_user_arn,false
snowflake_api_integration,api_aws_external_id,false
snowflake_api_integration,azure_tenant_id,false
snowflake_api_integration,google_audience,false
snowflake_api_integration,api_allowed_prefixes,false
snowflake_api_integration,name,false
snowflake_api_integration,azure_ad_application_id,false
snowflake_api_integration,azure_multi_tenant_app_name,false
snowflake_api_integration,fully_qualified_name,false
snowflake_api_integration,api_aws_role_arn,false
snowflake_api_integration,api_gcp_service_account,false
snowflake_api_integration,api_provider,false
snowflake_api_integration,azure_consent_url,false
snowflake_api_integration,api_blocked_prefixes,false
snowflake_api_integration,api_key,true
snowflake_database_role,name,false
snowflake_database_role,database,false
snowflake_database_role,name,false
snowflake_database_role,database_name,false
snowflake_database_role,owner_role_type,false
snowflake_database_role,owner,false
snowflake_database_role,fully_qualified_name,false
snowflake_oauth_integration_for_custom_clients,name,false
snowflake_oauth_integration_for_custom_clients,oauth_redirect_uri,false
snowflake_oauth_integration_for_custom_clients,oauth_allow_non_tls_redirect_uri,false
snowflake_oauth_integration_for_custom_clients,pre_authorized_roles_list,false
snowflake_oauth_integration_for_custom_clients,oauth_client_rsa_public_key,false
snowflake_oauth_integration_for_custom_clients,oauth_client_type,false
snowflake_oauth_integration_for_custom_clients,enabled,false
snowflake_oauth_integration_for_custom_clients,oauth_issue_refresh_tokens,false
snowflake_oauth_integration_for_custom_clients,oauth_client_rsa_public_key_2,false
snowflake_oauth_integration_for_custom_clients,name,false
snowflake_oauth_integration_for_custom_clients,integration_type,false
snowflake_oauth_integration_for_custom_clients,category,false
snowflake_oauth_integration_for_custom_clients,key,false
snowflake_oauth_integration_for_custom_clients,value,false
snowflake_oauth_integration_for_custom_clients,default,false
snowflake_oauth_integration_for_custom_clients,level,false
snowflake_oauth_integration_for_custom_clients,description,false
snowflake_oauth_integration_for_custom_clients,oauth_use_secondary_roles,false
snowflake_oauth_integration_for_custom_clients,type,false
snowflake_oauth_integration_for_custom_clients,value,false
snowflake_oauth_integration_for_custom_clients,default,false
snowflake_oauth_integration_for_custom_clients,name,false
snowflake_oauth_integration_for_custom_clients,type,false
snowflake_oauth_integration_for_custom_clients,value,false
snowflake_oauth_integration_for_custom_clients,default,false
snowflake_oauth_integration_for_custom_clients,name,false
snowflake_oauth_integration_for_custom_clients,default,false
snowflake_oauth_integration_for_custom_clients,name,false
snowflake_oauth_integration_for_custom_clients,type,false
snowflake_oauth_integration_for_custom_clients,value,false
snowflake_oauth_integration_for_custom_clients,name,false
snowflake_oauth_integration_for_custom_clients,type,false
snowflake_oauth_integration_for_custom_clients,value,false
snowflake_oauth_integration_for_custom_clients,default,false
snowflake_oauth_integration_for_custom_clients,name,false
snowflake_oauth_integration_for_custom_clients,type,false
snowflake_oauth_integration_for_custom_clients,value,false
snowflake_oauth_integration_for_custom_clients,default,false
snowflake_oauth_integration_for_custom_clients,name,false
snowflake_oauth_integration_for_custom_clients,type,false
snowflake_oauth_integration_for_custom_clients,value,false
snowflake_oauth_integration_for_custom_clients,default,false
snowflake_oauth_integration_for_custom_clients,default,false
snowflake_oauth_integration_for_custom_clients,name,false
snowflake_oauth_integration_for_custom_clients,type,false
snowflake_oauth_integration_for_custom_clients,value,false
snowflake_oauth_integration_for_custom_clients,type,false
snowflake_oauth_integration_for_custom_clients,value,false
snowflake_oauth_integration_for_custom_clients,default,false
snowflake_oauth_integration_for_custom_clients,name,false
snowflake_oauth_integration_for_custom_clients,default,false
snowflake_oauth_integration_for_custom_clients,name,false
snowflake_oauth_integration_for_custom_clients,type,false
snowflake_oauth_integration_for_custom_clients,value,false
snowflake_oauth_integration_for_custom_clients,default,false
snowflake_oauth_integration_for_custom_clients,name,false
snowflake_oauth_integration_for_custom_clients,type,false
snowflake_oauth_integration_for_custom_clients,value,false
snowflake_oauth_integration_for_custom_clients,name,false
snowflake_oauth_integration_for_custom_clients,type,false
snowflake_oauth_integration_for_custom_clients,value,false
snowflake_oauth_integration_for_custom_clients,default,false
snowflake_oauth_integration_for_custom_clients,default,false
snowflake_oauth_integration_for_custom_clients,name,false
snowflake_oauth_integration_for_custom_clients,type,false
snowflake_oauth_integration_for_custom_clients,value,false
snowflake_oauth_integration_for_custom_clients,name,false
snowflake_oauth_integration_for_custom_clients,type,false
snowflake_oauth_integration_for_custom_clients,value,false
snowflake_oauth_integration_for_custom_clients,default,false
snowflake_oauth_integration_for_custom_clients,type,false
snowflake_oauth_integration_for_custom_clients,value,false
snowflake_oauth_integration_for_custom_clients,default,false
